SEQ,NRPATRIMONIO1,DESCRICAO,CODCLASSIFICACAO,NOME_SETOR,LOCALIZAÇÃO,VALOR,DATACADASTRO,DESC_ESTADO,NRNOTAFISCAL,NOMEUNIDADE,ESTADO
1,629,"BANCADA P/MARCENEIRO C/PRENSA DE 2,00X0,85.",42,SETOR DE PATRIMÔNIO,,"0,01",31/12/2001,Bom,,GOI,B
2,3525,"ARMARIO DE ACO C/PORTAS DE ABRIR,5 PRAT.DE 50X110X180CM.",42,SETOR DE PATRIMÔNIO,,"0,01",31/12/2001,Bom,,GOI,B
3,6990,"MESA DE MAD.RUSTICA,C/TAMPO REFORC.MED.150X80X85CM.",42,SETOR DE PATRIMÔNIO,,"0,01",31/12/2001,Bom,,GOI,B
4,27692,"ARQUIVO DE ACO SECURIT, MED.: 0,50X0,72X1,33M",42,SETOR DE PATRIMÔNIO,,"0,01",03/05/1999,Bom,010/99,GOI,B
5,28005,ESTABILIZADOR HILL POWER,30,SETOR DE PATRIMÔNIO,,45,07/06/1999,Bom,145,GOI,B
6,35111,"ARMARIO EM MAD. REV. FORMICA, 4 PORTAS, MED. 170X80X40-FP",42,COORDENAÇÃO ACADÊMICA,,10,06/06/2003,Bom,F.PROP.,GOI,B
7,35261,ARMARIO DE ACO 2 PORTAS COR CINZA MED. 200X90X40CM F. PROPRIA,42,SETOR DE PATRIMÔNIO,,10,31/10/2003,Bom,f.prop,GOI,B
8,37386,FREEZER TIPO HORIZONTAL CAP. 546 LITROS M.ELETROLUX,12,COORDENAÇÃO ACADÊMICA,nan,"551,5",20/04/2005,Bom,,GOI,B
9,37398,REFRESQUEIRA 02 SABORES CAP. DE 30 LITROS,12,COORDENAÇÃO ACADÊMICA,,"128,26",20/04/2005,Bom,,GOI,B
10,38821,"MONITOR DE VIDEO 15"" LCD A CORES, MOD. 5 GLR M. ILHA SERVICE",35,SETOR DE PATRIMÔNIO,,"610,5",19/12/2006,Bom,0,GOI,B
11,38834,"MONITOR DE VIDEO 15"" LCD A CORES, MOD. 5 GLR M. ILHA SERVICE",35,SETOR DE PATRIMÔNIO,,"610,5",19/12/2006,Bom,0,GOI,B
12,39311,"MESA TIPO SUPERV. MED.160X160CM, GAVET. E SUPORTE CPU, USE MOVES",42,COORDENAÇÃO DE ASSISTÊNCIA ESTUDANTIL,,"1307,4",29/12/2006,Bom,476/06,GOI,B
13,39336,"MESA TIPO SUPERV. MED.160X160CM, GAVETEIRO E SUPORTE CPU, USE MOV",42,SETOR DE ADMINISTRAÇÃO DE TECNOLOGIA DA INFORMAÇÃO,TI,"1307,4",29/12/2006,Bom,476/06,GOI,B
14,39338,"MESA TIPO SUPERVISOR MED.160X160CM, C/ GAV. E SUP. USE MOVEIS",42,COORDENAÇÃO CURSO LICENCIATURA ARTES VISUAIS,B6T SALA COORD ARTES VISUAIS,"1307,4",29/12/2006,Bom,476/06,GOI,B
15,39342,"MESA TIPO SUPERVISOR MED.160X160CM, C/ GAV. E SUP. USE MOVEIS",42,COORDENAÇÃO DE GESTÃO ORÇAMENTÁRIA E FINANCEIRA,,"1307,4",29/12/2006,Bom,476/06,GOI,B
16,39343,"MESA TIPO SUPERVISOR MED.160X160CM, C/ GAV. E SUP. USE MOVEIS",42,GERÊNCIA DE ADMINISTRAÇÃO,,"1307,4",29/12/2006,Bom,476/06,GOI,B
17,39344,"MESA TIPO SUPERV. MED.160X160CM, GAVET. E SUPORTE CPU, USE MOVES",42,SETOR DE PATRIMÔNIO,B1 CGOF,"1307,4",29/12/2006,Bom,476/06,GOI,B
18,39345,"MESA TIPO SUPERVISOR MED.160X160CM, C/ GAV. E SUP. USE MOVEIS",42,"GERÊNCIA DE PESQUISA, PÓS-GRADUAÇÃO E EXTENSÃO",,"1307,4",29/12/2006,Bom,476/06,GOI,B
19,39346,"MESA TIPO SUPERV. MED.160X160CM, GAVET. E SUPORTE CPU, USE MOVES",42,DIRETORIA GERAL,B1 DG,"1307,4",29/12/2006,Bom,476/06,GOI,B
20,39347,"MESA TIPO SUPERVISOR MED.160X160CM, C/ GAV. E SUP. USE MOVEIS",42,INVENTÁRIO,,"1307,4",29/12/2006,Bom,476/06,GOI,B
21,39348,"MESA TIPO SUPERVISOR MED.160X160CM, C/ GAVETEIRO E SUPORTE P/ CPU",42,CHEFIA DE GABINETE,B1 CG,"1307,4",29/12/2006,Bom,476/06,GOI,B
22,39349,"MESA TIPO SUPERV. MED.160X160CM, GAVETEIRO E SUPORTE CPU, USE MOV",42,COORDENAÇÃO DE GESTÃO ORÇAMENTÁRIA E FINANCEIRA,B1 CGOF,"1307,4",29/12/2006,Bom,476/06,GOI,B
23,39350,"MESA TIPO SUPERV. MED.160X160CM, GAVET. E SUPORTE CPU, USE MOVES",42,COORDENAÇÃO DE RECURSOS HUMANOS E ASSISTÊNCIA SOCIAL,B1 CRHAS,"1307,4",29/12/2006,Bom,476/06,GOI,B
24,39352,"MESA TIPO SUPERVISOR MED.160X160CM, C/ GAV. E SUP. USE MOVEIS",42,SETOR DE PATRIMÔNIO,B1 CAC,"1307,4",29/12/2006,Bom,476/06,GOI,B
25,39476,MESA DE REUNIAO RETANGULAR MED. 200X120X74CM,42,COORDENAÇÃO DE ADMINISTRAÇÃO E MANUTENÇÃO,,712,29/12/2006,Bom,476/06,GOI,B
